1,1.25433e+02
1,1.16309e+02
1,1.16560e+02
1,1.16868e+02
1,1.19003e+02
2,6.73469e+01
2,6.28350e+01
2,5.89023e+01
2,5.85335e+01
2,5.85480e+01
3,3.91907e+01
3,3.90555e+01
3,3.95210e+01
3,4.51342e+01
3,4.26272e+01
4,3.65728e+01
4,3.07141e+01
4,2.98403e+01
4,2.99895e+01
4,2.98288e+01
5,2.49948e+01
5,2.69496e+01
5,2.52948e+01
5,2.60197e+01
5,2.54436e+01
6,2.33387e+01
6,2.34678e+01
6,2.26444e+01
6,2.31271e+01
6,2.34600e+01
7,2.16996e+01
7,2.12784e+01
7,2.10643e+01
7,2.12573e+01
7,2.13610e+01
8,1.89276e+01
8,1.86771e+01
8,1.87156e+01
8,1.89788e+01
8,1.90669e+01
