1	1.236	1.236	1.236	1.236	1.236	
2	1.363	1.376	1.372	1.378	1.376	
3	1.251	1.255	1.255	1.31	1.255	
4	1.235	1.236	1.236	1.235	1.235	
5	1.237	1.237	1.237	1.237	1.237	
6	1.408	1.408	1.409	1.408	1.408	
7	1.201	1.2	1.2	1.201	1.201	
8	1.2	1.2	1.2	1.2	1.2	
9	1.207	1.207	1.207	1.207	1.208	
10	1.233	1.235	1.234	1.234	1.234	
11	1.238	1.238	1.238	1.238	1.238	
12	1.199	1.198	1.198	1.198	1.198	
13	1.198	1.198	1.198	1.199	1.199	
14	1.393	1.427	1.435	1.438	1.377	
15	1.198	1.198	1.198	1.198	1.198	
16	1.198	1.198	1.198	1.198	1.198	
