1	1.009	1.009	1.01	1.01	1.01	
2	0.57	0.58	0.578	0.579	0.545	
3	0.387	0.389	0.389	0.403	0.404	
4	0.292	0.3	0.3	0.279	0.292	
5	0.229	0.229	0.229	0.229	0.229	
6	0.186	0.186	0.199	0.207	0.208	
7	0.164	0.178	0.177	0.175	0.172	
8	0.145	0.154	0.158	0.159	0.158	
9	0.14	0.141	0.14	0.14	0.14	
10	0.134	0.135	0.137	0.137	0.138	
11	0.133	0.129	0.13	0.139	0.14	
12	0.139	0.132	0.133	0.131	0.131	
13	0.136	0.134	0.137	0.135	0.136	
14	0.14	0.136	0.138	0.139	0.139	
15	0.144	0.138	0.14	0.141	0.142	
16	0.147	0.14	0.142	0.143	0.148	
